"MRECID","MOFFIC","MACCT","MATYPE","MBAL","MOTE","MTE","MLOV","MSOV","MFIR","MME","MCURAC","MCVTAB","VALUEDATE"
"M","MON","87550","U1","-67.48","0.00","-67.48","0.00","0.00","8950.00","-9017.48","USD","1.00000000","20210518"
"G","MON","87550","9Z","-67.48","0.00","-67.48","0.00","0.00","8950.00","-9017.48","USD","1.00000000","20210518"
"G","MON","87550","91","-67.48","0.00","-67.48","0.00","0.00","8950.00","-9017.48","USD","1.00000000","20210518"
"R","1G1","R1234","U1","-67.00","0.00","-67.00","0.00","0.00","0.00","-67.00","USD","1.00000000","20210518"
"G","1G1","R1234","9Z","-67.00","0.00","-67.00","0.00","0.00","0.00","-67.00","USD","1.00000000","20210518"
"G","1G1","R1234","91","-67.00","0.00","-67.00","0.00","0.00","0.00","-67.00","USD","1.00000000","20210518"
"M","1G1","10000","U1","-64.98","2625.00","2560.02","0.00","0.00","0.00","2560.02","USD","1.00000000","20210518"
"G","1G1","10000","9Z","-64.98","2625.00","2560.02","0.00","0.00","0.00","2560.02","USD","1.00000000","20210518"
"G","1G1","10000","91","-64.98","2625.00","2560.02","0.00","0.00","0.00","2560.02","USD","1.00000000","20210518"
"M","1G1","20000","U1","-2.02","-2625.00","-2627.02","0.00","0.00","0.00","-2627.02","USD","1.00000000","20210518"
"G","1G1","20000","9Z","-2.02","-2625.00","-2627.02","0.00","0.00","0.00","-2627.02","USD","1.00000000","20210518"
"G","1G1","20000","91","-2.02","-2625.00","-2627.02","0.00","0.00","0.00","-2627.02","USD","1.00000000","20210518"
"M","1T1","XXXXX","U1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","USD","1.00000000","20210518"
"G","1T1","XXXXX","9Z","0.00","0.00","0.00","0.00","0.00","0.00","0.00","USD","1.00000000","20210518"
"G","1T1","XXXXX","91","0.00","0.00","0.00","0.00","0.00","0.00","0.00","USD","1.00000000","20210518"
"M","1T1","XXXX2","U1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","USD","1.00000000","20210518"
"G","1T1","XXXX2","9Z","0.00","0.00","0.00","0.00","0.00","0.00","0.00","USD","1.00000000","20210518"
"G","1T1","XXXX2","91","0.00","0.00","0.00","0.00","0.00","0.00","0.00","USD","1.00000000","20210518"
"M","1T1","XXXX3","U1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","USD","1.00000000","20210518"
"G","1T1","XXXX3","9Z","0.00","0.00","0.00","0.00","0.00","0.00","0.00","USD","1.00000000","20210518"
"G","1T1","XXXX3","91","0.00","0.00","0.00","0.00","0.00","0.00","0.00","USD","1.00000000","20210518"
"M","1T1","XXXX4","U1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","USD","1.00000000","20210518"
"G","1T1","XXXX4","9Z","0.00","0.00","0.00","0.00","0.00","0.00","0.00","USD","1.00000000","20210518"
"G","1T1","XXXX4","91","0.00","0.00","0.00","0.00","0.00","0.00","0.00","USD","1.00000000","20210518"
